SYMBOL,INDUSTRY
20MICRONS,Other Industrial Metals & Mining
21STCENMGM,Capital Markets
360ONE,Asset Management
3IINFOLTD,Information Technology Services
3MINDIA,Conglomerates
3PLAND,
5PAISA,Capital Markets
63MOONS,Software - Application
A2ZINFRA,Engineering & Construction
AAATECH,Information Technology Services
AAKASH,Oil & Gas Equipment & Services
AAREYDRUGS,Drug Manufacturers - Specialty & Generic
AARON,Specialty Industrial Machinery
AARTECH,
AARTIDRUGS,Drug Manufacturers - Specialty & Generic
AARTIIND,Specialty Chemicals
AARTIPHARM,Drug Manufacturers - Specialty & Generic
AARTISURF,Specialty Chemicals
AARVEEDEN,Textile Manufacturing
AARVI,Staffing & Employment Services
AAVAS,Mortgage Finance
ABAN,Oil & Gas Drilling
ABB,Specialty Industrial Machinery
ABBOTINDIA,Drug Manufacturers - General
ABCAPITAL,Financial Conglomerates
ABFRL,Apparel Manufacturing
ABMINTLLTD,Specialty Chemicals
ABSLAMC,Asset Management
ACC,Building Materials
ACCELYA,Information Technology Services
ACCURACY,Integrated Freight & Logistics
ACE,Farm & Heavy Construction Machinery
ACEINTEG,Staffing & Employment Services
ACI,Chemicals
ACL,
ACLGATI,Integrated Freight & Logistics
ADANIENSOL,Utilities - Independent Power Producers
ADANIENT,Thermal Coal
ADANIGREEN,Utilities - Renewable
ADANIPORTS,Marine Shipping
ADANIPOWER,Utilities - Independent Power Producers
ADFFOODS,Packaged Foods
ADL,"Furnishings, Fixtures & Appliances"
ADORWELD,Specialty Industrial Machinery
ADROITINFO,Information Technology Services
ADSL,Information Technology Services
ADVANIHOTR,Lodging
ADVENZYMES,Specialty Chemicals
AEGISCHEM,Oil & Gas Refining & Marketing
AEROFLEX,Metal Fabrication
AETHER,Specialty Chemicals
AFFLE,Advertising Agencies
AGARIND,Specialty Chemicals
AGI,Packaging & Containers
AGRITECH,Farm Products
AGROPHOS,Agricultural Inputs
AGSTRA,Software - Infrastructure
AHL,Capital Markets
AHLADA,Building Products & Equipment
AHLEAST,Lodging
AHLUCONT,Engineering & Construction
AIAENG,Specialty Industrial Machinery
AIRAN,Information Technology Services
AIROLAM,"Furnishings, Fixtures & Appliances"
AJANTPHARM,Drug Manufacturers - Specialty & Generic
AJMERA,Real Estate - Development
AJOONI,Packaged Foods
AKASH,Engineering & Construction
AKG,Packaged Foods
AKI,Footwear & Accessories
AKSHAR,Textile Manufacturing
AKSHARCHEM,Specialty Chemicals
AKSHOPTFBR,Communication Equipment
AKZOINDIA,Specialty Chemicals
ALANKIT,Information Technology Services
ALBERTDAVD,Drug Manufacturers - Specialty & Generic
ALEMBICLTD,Real Estate - Development
ALICON,Metal Fabrication
ALKALI,Specialty Chemicals
ALKEM,Drug Manufacturers - Specialty & Generic
ALKYLAMINE,Specialty Chemicals
ALLCARGO,Integrated Freight & Logistics
ALLSEC,Specialty Business Services
ALMONDZ,Capital Markets
ALOKINDS,Textile Manufacturing
ALPA,Drug Manufacturers - Specialty & Generic
ALPHAGEO,Oil & Gas Equipment & Services
ALPSINDUS,Textile Manufacturing
AMBER,"Furnishings, Fixtures & Appliances"
AMBICAAGAR,Household & Personal Products
AMBIKCO,Textile Manufacturing
AMBUJACEM,Building Materials
AMDIND,Packaging & Containers
AMIORG,Specialty Chemicals
AMJLAND,Real Estate - Development
AMNPLST,
AMRUTANJAN,Drug Manufacturers - Specialty & Generic
ANANDRATHI,Asset Management
ANANTRAJ,Real Estate - Development
ANDHRAPAP,Paper & Paper Products
ANDHRSUGAR,Chemicals
ANGELONE,Capital Markets
ANIKINDS,Food Distribution
ANKITMETAL,Steel
ANMOL,Thermal Coal
ANSALAPI,Real Estate - Development
ANTGRAPHIC,Packaging & Containers
ANUP,Specialty Industrial Machinery
ANURAS,Specialty Chemicals
APARINDS,Electrical Equipment & Parts
APCL,Building Materials
APCOTEXIND,Specialty Chemicals
APEX,Farm Products
APLAPOLLO,Steel
APLLTD,Drug Manufacturers - Specialty & Generic
APOLLO,Aerospace & Defense
APOLLOHOSP,Medical Care Facilities
APOLLOPIPE,Building Products & Equipment
APOLLOTYRE,Auto Parts
APOLSINHOT,Specialty Business Services
APTECHT,Education & Training Services
APTUS,Mortgage Finance
ARCHIDPLY,Lumber & Wood Production
ARCHIES,Specialty Retail
ARE&M,Electrical Equipment & Parts
ARENTERP,Other Industrial Metals & Mining
ARIES,Agricultural Inputs
ARIHANTCAP,Capital Markets
ARIHANTSUP,Real Estate - Development
ARMANFIN,Credit Services
AROGRANITE,Building Products & Equipment
ARROWGREEN,Packaging & Containers
ARSHIYA,Integrated Freight & Logistics
ARSSINFRA,Infrastructure Operations
ARTEMISMED,
ARTNIRMAN,Real Estate - Development
ARVEE,Specialty Chemicals
ARVIND,Textile Manufacturing
ARVINDFASN,Apparel Manufacturing
ARVSMART,Real Estate - Development
ASAHIINDIA,Auto Parts
ASAHISONG,Specialty Chemicals
ASAL,Auto Parts
ASALCBR,Beverages - Wineries & Distilleries
ASHAPURMIN,Other Industrial Metals & Mining
ASHIANA,Real Estate - Development
ASHIMASYN,Textile Manufacturing
ASHOKA,Engineering & Construction
ASHOKAMET,Steel
ASHOKLEY,Farm & Heavy Construction Machinery
ASIANENE,Oil & Gas Equipment & Services
ASIANHOTNR,Lodging
ASIANPAINT,Specialty Chemicals
ASIANTILES,Building Products & Equipment
ASKAUTOLTD,Auto Parts
ASMS,Information Technology Services
ASPINWALL,Farm Products
ASTEC,Agricultural Inputs
ASTERDM,Medical Care Facilities
ASTRAL,Building Products & Equipment
ASTRAMICRO,Communication Equipment
ASTRAZEN,Drug Manufacturers - Specialty & Generic
ASTRON,Paper & Paper Products
ATALREAL,Engineering & Construction
ATAM,Specialty Industrial Machinery
ATFL,Packaged Foods
ATGL,Utilities - Regulated Gas
ATL,Integrated Freight & Logistics
ATLANTAA,Infrastructure Operations
ATUL,Specialty Chemicals
ATULAUTO,Auto Manufacturers
AUBANK,Banks - Regional
AURIONPRO,Software - Infrastructure
AUROPHARMA,Drug Manufacturers - Specialty & Generic
AURUM,Information Technology Services
AUSOMENT,Capital Markets
AUTOAXLES,Auto Parts
AUTOIND,Auto Parts
AVADHSUGAR,Confectioners
AVALON,Electronic Components
AVANTIFEED,Packaged Foods
AVG,Integrated Freight & Logistics
AVONMORE,Capital Markets
AVROIND,"Furnishings, Fixtures & Appliances"
AVTNPL,Specialty Chemicals
AWHCL,Waste Management
AWL,Packaged Foods
AXISBANK,Banks - Regional
AXISCADES,Engineering & Construction
AXITA,Textile Manufacturing
AYMSYNTEX,Textile Manufacturing
